# prefix,country_code,region_code,city,postal
23.178.80.0/24,US,US-VA,Fairfax,22033
199.83.26.0/24,US,US-NV,Las Vegas
2602:fc8b:29::/48,US,US-NV,Las Vegas
199.83.27.0/24,US,US-NY,New York
2602:fc8b::/48,US,US-VA,Fairfax,22033
2602:fc8b:10::/48,US,US-VA,Fairfax,22033
2602:fc8b:21::/48,US,US-VA,Fairfax,22033
2602:fc8b:28::/48,US,US-NY,New York
